"text", "translation</size>"
"ダートGⅠ・フェブラリーSを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race February Stakes. Used to raise the awakening level of a character.</size>"
"短距離GⅠ・高松宮記念を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 short-distance race Takamatsunomiya Kinen. Used to raise the awakening level of a character.</size>"
"中距離GⅠ・大阪杯を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 medium-distance race Osaka Hai. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・桜花賞を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Oka Sho. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・皐月賞を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Satsuki Sho. Used to raise the awakening level of a character.</size>"
"長距離GⅠ・天皇賞（春）を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 long-distance race Tenno Sho (Spring). Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・NHKマイルCを優勝\nした証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race NHK Mile Cup. Used to raise the awakening level of a character.</size>"
"マイルGⅠ・ヴィクトリアマイルを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 mile race Victoria Mile. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・オークスを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Oaks. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・日本ダービーを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Japan Derby. Used to raise the awakening level of a character.</size>"
"マイルGⅠ・安田記念を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 Mile race Yasuka Kinen. Used to raise the awakening level of a character.</size>"
"中距離GⅠ・宝塚記念を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 medium-distance race Takarazuka Kinen. Used to raise the awakening level of a character.</size>"
"短距離GⅠ・スプリンターズSを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Sprinter's Stakes. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・秋華賞を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Shuuka Sho. Used to raise the awakening level of a character.</size>"
"クラシック級GⅠ・菊花賞を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Kikka Sho. Used to raise the awakening level of a character.</size>"
"中距離GⅠ・天皇賞（秋）を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 medium-distance race Tenno Sho (Autumn). Used to raise the awakening level of a character.</size>"
"マイルGⅠ・マイルCSを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 mile race Mile Championship. Used to raise the awakening level of a character.</size>"
"中距離GⅠ・エリザベス女王杯を\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 medium-distance race Queen Elizabeth II Cup. Used to raise the awakening level of a character.</size>"
"中距離GⅠ・ジャパンカップを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 medium-distance race Japan Cup. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・チャンピオンズカップを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race Champions Cup. Used to raise the awakening level of a character.</size>"
"ジュニア級GⅠ・阪神JFを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Junior G1 race Hanshin Juvenile Fillies. Used to raise the awakening level of a character.</size>"
"ジュニア級GⅠ・朝日杯FSを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the Junior G1 race Asahi Hai Futurity Stakes. Used to raise the awakening level of a character.</size>"
"長距離GⅠ・有馬記念を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 long-distance race Arima Kinen. Used to raise the awakening level of a character.</size>"
"ジュニア級GⅠ・ホープフルSを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the Junior G1 race Hopeful Stakes. Used to raise the awakening level of a character.</size>"
"大事なレース日に遅刻は厳禁！育成の\n目標レースでコンティニューができる。","<size=22>No being late on the day of an important race! Lets you back and continue from the last objective's race.</size>"
"デイリーレースの挑戦に必要なチケット。","<size=22>A ticket necessary for participating in daily races.</size>"
"レジェンドレースの挑戦に必要なチケット。","<size=22>A ticket necessary for participating in legend races.</size>"
"トレーナー同士の友情の証。\nショップで様々なものと交換できる。","<size=22>Proof of the friendship between trainers. Can be exchanged at the shop for various items.</size>"
"クラシック級GⅠ・ジャパンダートダービー\nを優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the Classics G1 race Japan Dirt Derby. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・JBCスプリントを優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race JBC Sprint. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・JBCクラシックを優勝\nした証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race JBC Classic. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・JBCレディスクラシックを\n優勝した証。覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race JBC Ladies Classics Winner's Garland. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・帝王賞を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race Teio Sho. Used to raise the awakening level of a character.</size>"
"ダートGⅠ・東京大賞典を優勝した証。\n覚醒Lv強化で使用できる。","<size=22>Proof of having won the G1 dirt race Tokyo Daishoten. Used to raise the awakening level of a character.</size>"
"能力を引き出す不思議な力。\nサポートカードのLv強化で使用できる。","<size=22>A mysterious power that draws out abilities. Used to increase the level of support cards.</size>"
"サポートカードガチャが引けるチケット。\nガチャの一覧から使用できる。","<size=22>A ticket to pull from the support card gacha with. Usable at the Gacha menu.</size>"
"★3確定メイクデビューガチャが引ける\nチケット。ガチャの一覧から使用できる。","<size=22>A ticket to pull from the 3* guaranteed ""Make Debut"" character gacha with. Usable at the gacha menu.</size>"
"SSR確定メイクデビューガチャが引ける\nチケット。ガチャの一覧から使用できる。","<size=22>A ticket to pull from the SSR guaranteed ""Make Debut"" support card gacha with. Usable at the gacha menu.</size>"
"三女神様の祝福が得られるとされている。\nショップで様々なものと交換できる。","<size=22>It's said that the blessing of the three goddesses can be obtained from these. Can be exchanged for various items in the shop.</size>"
"ウマ娘のやる気を絶好調にする。\nチーム競技場などで使用できる。","<size=22>Get a horse girl into perfect condition. Usable in the Team Stadium etc.</size>"
"天候が「晴」、バ場が「良」になる。\nチーム競技場などで使用できる。","<size=22>Changes a race's weather to ""Sunny"" and the track condition to ""Good"". Usable in the Team Stadium etc.</size>"
"天候が「雨」、バ場が「不良」になる。\nチーム競技場などで使用できる。","<size=22>Changes a race's weather to ""Rainy"" and the track condition to ""Bad"". Usable in the Team Stadium etc.</size>"
"枠番が内枠（1～3）になる。\nチーム競技場などで使用できる。","<size=22>Your gate block will change to an inner block (between 1st and 3rd). Usable in the Team Stadium etc.</size>"
"枠番が外枠（6～8）になる。\nチーム競技場などで使用できる。","<size=22>Your gate block will change to an outer block (between 6th and 8th). Usable in the Team Stadium etc.</size>"
"リストの中から好きな\n★3育成ウマ娘と交換できる引換券。","<size=22>A voucher that can be exchanged for a 3* character of your liking from a list.</size>"
"リストの中から好きな\nSSRサポートカードと交換できる引換券。","<size=22>A voucher that can be exchanged for an SSR support card of your liking from a list.</size>"
"持つべきものはフォロー数！\nフォロー枠を1つ増やすことができる。","<size=22>What you should possess are followers! Increases the maximum amount of trainers you can follow by one.</size>"
"サークルの団結の証。\nショップで様々なものと交換できる。","<size=22>Proof of the unity of your circle. Can be exchanged for various items in the shop.</size>"
"★2以上確定メイクデビューガチャが引ける\nチケット。ガチャの一覧から使用できる。","<size=22>A ticket to pull from the 2* or above guaranteed ""Make Debut"" character gacha with. Usable at the gacha menu.</size>"
"SR以上確定メイクデビューガチャが引ける\nチケット。ガチャの一覧から使用できる。","<size=22>A ticket to pull from the SR or above guaranteed ""Make Debut"" support card gacha with. Usable at the gacha menu.</size>"
